North America,Aruba,292
Africa,Togo,290
North America,Nicaragua,245
North America,Grenada,238
Oceania,Solomon Islands,199
Africa,Chad,194
Africa,Djibouti,189
Africa,Mayotte,187
Europe,Iceland,186
Africa,Equatorial Guinea,183
Asia,Brunei,178
Africa,Guinea-Bissau,177
Africa,Seychelles,172
North America,Bermuda,165
Africa,Benin,163
Europe,Jersey,161
Africa,Comoros,160
Europe,Andorra,159
Africa,South Sudan,147
North America,Antigua and Barbuda,146
Asia,East Timor,138
North America,United States Virgin Islands,132
Africa,Sierra Leone,126
Europe,San Marino,126
Asia,Tajikistan,125
North America,Saint Vincent and the Grenadines,124
Europe,Isle of Man,116
Europe,Gibraltar,113
Africa,Central African Republic,113
Africa,Eritrea,103
North America,Sint Maarten (Dutch part),92
Europe,Liechtenstein,89
Africa,Sao Tome and Principe,80
North America,Dominica,74
Europe,Guernsey,67
Europe,Monaco,67
Oceania,Micronesia (country),65
North America,British Virgin Islands,64
North America,Saint Kitts and Nevis,46
North America,Saint Martin (French part),46
North America,Bonaire Sint Eustatius and Saba,41
Oceania,Northern Mariana Islands,41
North America,Turks and Caicos Islands,40
North America,Cayman Islands,37
Oceania,American Samoa,34
Oceania,Samoa,31
Europe,Faroe Islands,28
Oceania,Kiribati,24
Asia,Bhutan,21
North America,Greenland,21
Oceania,Marshall Islands,17
Africa,Burundi,15
Oceania,Vanuatu,14
Oceania,Tonga,12
North America,Anguilla,12
Oceania,Palau,10
Oceania,Wallis and Futuna,9
North America,Montserrat,8
North America,Saint Barthelemy,5
North America,Saint Pierre and Miquelon,2
Oceania,Cook Islands,2
Oceania,Tuvalu,1
Oceania,Nauru,1
Europe,Vatican,0
South America,Falkland Islands,0
Africa,Saint Helena,0
Asia,North Korea,0
Oceania,Tokelau,0
Oceania,Niue,0
Asia,Turkmenistan,0
Asia,Taiwan,NULL
Europe,Northern Ireland,NULL
Asia,Northern Cyprus,NULL
Asia,Hong Kong,NULL
Africa,Western Sahara,NULL
Asia,Macao,NULL
Oceania,Pitcairn,NULL
Europe,Wales,NULL
Europe,England,NULL
Europe,Scotland,NULL
